user_id,name,date,amount,recurring
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-01-28,26.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-01-31,3.17,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-04,7.14,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-10,4.49,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-11,26.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-13,10,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-16,17.81,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-02-16,20,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-03-04,9.79,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-03-18,10,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-03-20,7.93,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-03-24,15.38,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-03-29,28.82,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-04-03,24.98,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-04-10,10,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-04-20,25.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-04-30,13.89,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-05-01,26.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-05-06,14.07,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-05-14,13.43,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-06-07,11.7,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-06-07,34.24,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-07-04,1.27,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-07-07,26.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-07-10,14.6,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-07-20,26.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-08-01,27.95,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-08-13,39.4,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-08-31,5.09,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-01,33.96,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-11,37.68,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-13,13.17,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-23,35.53,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-26,10.11,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-09-28,5.41,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-10-05,13.35,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-10-20,20.66,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-10-27,29.31,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-11-10,32.21,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-11-12,8.7,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-11-12,11.71,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-11-15,3.18,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-11-19,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-04,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-09,11.19,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-13,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-16,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-21,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-22,9.99,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-22,43.67,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-23,8.52,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-24,2.54,
ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,7-Eleven,2023-12-28,1.72,
